customer_key,customer_id,customer_number,customer_firstname,customer_lastname,customer_marital_status,customer_gender,customer_birthday,cntry,customer_create_date
1,11000,AW00011000,Jon,Yang,marry,male,1971-10-06,AUSTRALIA,2025-10-06
2,11001,AW00011001,Eugene,Huang,single,male,1976-05-10,AUSTRALIA,2025-10-06
3,11002,AW00011002,Ruben,Torres,marry,male,1971-02-09,AUSTRALIA,2025-10-06
4,11003,AW00011003,Christy,Zhu,single,female,1973-08-14,AUSTRALIA,2025-10-06
5,11004,AW00011004,Elizabeth,Johnson,single,female,1979-08-05,AUSTRALIA,2025-10-06
6,11005,AW00011005,Julio,Ruiz,single,male,1976-08-01,AUSTRALIA,2025-10-06
7,11006,AW00011006,Janet,Alvarez,single,female,1976-12-02,AUSTRALIA,2025-10-06
8,11007,AW00011007,Marco,Mehta,marry,male,1969-11-06,AUSTRALIA,2025-10-06
9,11008,AW00011008,Rob,Verhoff,single,female,1975-07-04,AUSTRALIA,2025-10-06
10,11009,AW00011009,Shannon,Carlson,single,male,1969-09-29,AUSTRALIA,2025-10-06
11,11010,AW00011010,Jacquelyn,Suarez,single,female,1969-08-05,AUSTRALIA,2025-10-06
12,11011,AW00011011,Curtis,Lu,marry,male,1969-05-03,AUSTRALIA,2025-10-06
13,11012,AW00011012,Lauren,Walker,marry,female,1979-01-14,UNITED STATES,2025-10-06
14,11013,AW00011013,Ian,Jenkins,marry,male,1979-08-03,UNITED STATES,2025-10-06
15,11014,AW00011014,Sydney,Bennett,single,female,1973-11-06,UNITED STATES,2025-10-06
16,11015,AW00011015,Chloe,Young,single,female,1984-08-26,UNITED STATES,2025-10-06
17,11016,AW00011016,Wyatt,Hill,marry,male,1984-10-25,UNITED STATES,2025-10-07
18,11017,AW00011017,Shannon,Wang,single,female,1949-12-24,AUSTRALIA,2025-10-07
19,11018,AW00011018,Clarence,Rai,single,male,1955-10-06,AUSTRALIA,2025-10-07
20,11019,AW00011019,Luke,Lal,single,male,1983-09-04,CANADA,2025-10-07
21,11020,AW00011020,Jordan,King,single,male,1984-03-19,CANADA,2025-10-07
22,11021,AW00011021,Destiny,Wilson,single,female,1984-03-02,UNITED STATES,2025-10-07
23,11022,AW00011022,Ethan,Zhang,marry,male,1984-04-10,UNITED STATES,2025-10-07
24,11023,AW00011023,Seth,Edwards,marry,male,1984-04-09,UNITED STATES,2025-10-07
25,11024,AW00011024,Russell,Xie,marry,male,1984-03-16,UNITED STATES,2025-10-07
26,11025,AW00011025,Alejandro,Beck,marry,male,1951-06-22,AUSTRALIA,2025-10-07
27,11026,AW00011026,Harold,Sai,single,male,1951-10-01,AUSTRALIA,2025-10-07
28,11027,AW00011027,Jessie,Zhao,marry,male,1952-06-05,AUSTRALIA,2025-10-07
29,11028,AW00011028,Jill,Jimenez,marry,female,1951-10-09,AUSTRALIA,2025-10-07
30,11029,AW00011029,Jimmy,Moreno,marry,male,1952-06-19,AUSTRALIA,2025-10-07
31,11030,AW00011030,Bethany,Yuan,marry,female,1958-02-18,AUSTRALIA,2025-10-07
32,11031,AW00011031,Theresa,Ramos,marry,female,1953-02-18,AUSTRALIA,2025-10-07
33,11032,AW00011032,Denise,Stone,marry,female,1952-12-08,AUSTRALIA,2025-10-07
34,11033,AW00011033,Jaime,Nath,marry,male,1958-09-19,AUSTRALIA,2025-10-07
